ebay_id,ebay_title,price,keeper_score
v1|398251055310|0,LEE MORGAN Charisma BLUE NOTE BST 84312 | Van Gelder | Jazz | Soul | LP HEAR,12.50,0.9509
v1|366577527538|0,CURTIS FULLER Bone & Bari BLUE NOTE LP NM mono japan 1983 reissue w/ insert o,20.62,0.9503
v1|366577536397|0,GENE HARRIS & HIS THREE SOUNDS Elegant Soul BLUE NOTE LP o,22.50,0.9479
v1|318672012666|0,Bobby Caldwell - S/T LP - Clouds Yellow Wax VG+,30.00,0.9477
v1|800440110246|0,PHAROAH SANDERS Thembi ABC/IMPULSE LP gatefold o,10.50,0.9458
v1|318660974385|0,PHAROAH SANDERS Tauhid ABC/IMPULSE LP gatefold o,9.50,0.9458
v1|398243407574|0,Kenny Burrell w/ Art Blakey-On View at The 5 Spot– Blue Note 4021 – 1972 UA Mono,45.00,0.9457
v1|168583870568|0,Chi-Lites-A Letter To Myself-Original 1973 Brunswick Gatefold Cover Vinyl LP,7.75,0.9456
v1|287499649247|0,MILES DAVIS - COOKIN' 1958 PRESTIGE RECORDS MONO SECOND PRESS PR 7094 NJ RVG DG,69.69,0.9447
v1|188730512287|0,Funk Soul - Donny McCullough Lonely Lady Disco Dance - EMC - Rare Private Press,9.99,0.9431
v1|257653167680|0,Eric Dolphy Quintet – Outward Bound 1960 US FIRST PRESS RVG DEEP GROOVE VG/VG+,10.50,0.9431
v1|800454443610|0,Admas - Sons Of Ethiopia LP - African Heritage - Rare Afro Boogie Synth OG VG+,680.00,0.9430
v1|307107198935|0,"RARE - RE  UK 1969 ""BREATHE AWHILE"" ~ ARCADIUM ~ ""MONSTER"" PROG PSYCH ACID FLOYD",74.98,0.9427
v1|366581690774|0,New York Dolls Too Much Too Soon Vinyl Record 1974 Mercury Pressing Punk Glam,40.00,0.9414
v1|206462527513|0,Bobby Caldwell - Cat In The Hat LP - Clouds PROMO,8.00,0.9391
v1|257654948041|0,Art Blakey At Jazz Corner of World NICE! W63 DG Vol 1 2 4015 4016 Blue Note lp,89.00,0.9389
v1|206462527509|0,Bobbi Humphrey - Fancy Dancer LP - Blue Note,9.00,0.9369
v1|257657461017|0,Andrew Hill Black Fire SUPERB! 1st NY Mono Ear Joe Henderson Blue Note lp,599.00,0.9353
v1|800440149147|0,CHARLES MINGUS Mingus Mingus Mingus Mingus Mingus ABC/IMPULSE LP VG+ gatefold o,12.00,0.9336
v1|800440147750|0,LEE MORGAN Cornbread BLUE NOTE LP VG+ stereo UA van gelder o,11.25,0.9334
v1|800440147487|0,LEE MORGAN Charisma BLUE NOTE LP van gelder gatefold o,16.50,0.9332
v1|336726306880|0,VELVET UNDERGROUND White Light/White Heat STEREO LP 1968 Verve EAST COAST PRESS,199.00,0.9318
v1|800443916387|0,Roy Ayers Ubiquity - Vibrations LP - Polydor OG Press,8.00,0.9317
v1|318661056758|0,HERBIE HANCOCK Empyrean Isles BLUE NOTE LP VG+ stereo UA van gelder o,25.26,0.9315
v1|158147683280|0,"The Cure ""Faith"" Original 1981 Release, ST-E-60783",65.00,0.9303
v1|366577517717|0,ALPHONSE MOUZON Mind Transplant BLUE NOTE LP o,8.00,0.9300
v1|398251056721|0,JOHN COLTRANE Stardust PRESTIGE  OJC  902 | Jazz | LP HEAR,9.99,0.9289
v1|257651553434|0,Thelonious Monk Quartet – Misterioso 1958 US MONO First Press Deep Groove EX,26.77,0.9268
v1|236979694536|0,FACTORY RECORDS: Joy Division- Unknown 1st PRESSING TIP ON TEXTURED SLEEVE NICE!,211.00,0.9250
v1|800440149097|0,CHARLES MINGUS New Tijuana Moods BLUEBIRD 5635-1-RB 2XLP gatefold SEALED o,8.00,0.9246
v1|227462725643|0,Hard Meat - Self Titled S/T NM lp White Label Promo 1970 Psych Prog rock UK,15.50,0.9233
v1|800440111685|0,MAX ROACH M'Boom COLUMBIA LP o,9.50,0.9228
v1|158148020088|0,Bobby Hutcherson - Components - 1966 1st Press - Blue Note Records - BST 84213,200.00,0.9208
v1|366577512570|0,IKE QUEBEC Bossa Nova Soul Samba BLUE NOTE LP mono NY van gelder o,78.00,0.9193
v1|800452044825|0,Donald Byrd's Best - FIRST PRESS Vinyl Record BLUE NOTE LP Jazz Trumpet Vinyl NM,12.00,0.9191
v1|147472874955|0,THE SMITHS THE QUEEN IS DEAD 1986 SIRE RECORDS VG++ VINYL (HEAR!),41.00,0.9163
v1|178368482236|0,Eric Dolphy – Conversations LP On Clear Vinyl Free Modal Jazz Alto Saxophone,9.65,0.9160
v1|168584779015|0,"STEVE MANCHA~""HATE YOURSELF""~Orig. 1968~FUNK~SOUL~7'' 45rpm~VERY RARE~$$~VG+",9.99,0.9152
v1|336722560148|0,Dexter Gordon - The Other Side Of Round Midnight Vinyl LP - Blue Note BTC-85135,9.99,0.9116
v1|800463128746|0,The Velvet Underground and Andy Warhol  12” lot of 2 vinyl records / Import,14.99,0.9110
v1|178356488849|0,Ghostface Killah - Ironman - 2 x Vinyl LP - E2 67729 Original 1996 US Pressing,99.99,0.9104
v1|318661015319|0,MILES DAVIS Self Titled PRESTIGE PR-24001 2XLP VG+ gatefold o,8.50,0.9102
v1|227459426299|0,PHAROAH SANDERS Love Will Find A Way LP ARISTA Hyman Jazz-Funk Soul-Jazz,9.99,0.9090
v1|398253629648|0,Bobby Hutcherson / Natural Illusions / 1972 Blue Note BST 84416 Jazz-Funk,20.00,0.9089
v1|287499636228|0,SONNY ROLLINS East Broadway Run Down LP IMPULSE AS-9121 STEREO VAN GELDER 1966 ,19.99,0.9087
v1|366577523660|0,CHARLES EARLAND Living Black! PRESTIGE LP o,8.00,0.9084
v1|137578833434|0,"BRIT INDIE ROCK 12"" ""LOVERMAN"" WITNESS ( A & M 1991) UK PROMO ",6.00,0.9083
v1|198542923914|0,Adam and the Ants RARE B-Sides Picture Disc DO IT New Wave UK EX!,10.00,0.9081
v1|257651574706|0,Thelonious Monk Quartet – Thelonious In Action 1958 US MONO First Deep Groove,4.99,0.9051
v1|800440149012|0,BLUE MITCHELL Bring It Home To Me BLUE NOTE LP stereo NY van gelder o,15.50,0.9049
v1|800440153894|0,LOU DONALDSON Good Gracious! BLUE NOTE LP mono NY van gelder ear o,49.88,0.9046
v1|257651597231|0,"Thelonious Monk – Straight, No Chaser 1967 US MONO First Press Vinyl LP EX",9.39,0.9044
v1|117337479211|0,"FREDDIE HUBBARD Hub-Tones BLUE NOTE BLP 4115 12"" Vinyl Jazz LP 33 RPM",39.00,0.9041
v1|257651595759|0,Thelonious Monk – Criss-Cross 1963 US MONO First Press Vinyl LP VG+/EX,4.99,0.9037
v1|257653837842|0,Stanley Turrentine and Three Sounds Blue Hour W63/NY DG Ear 3 Blue Note lp,56.00,0.9035
v1|366586571799|0,"Lou Donaldson - The Natural Soul Vinyl - Mono, 1963 - US - BLP 4108 Blue Note",60.00,0.9034
v1|366577541599|0,BOBBY HUTCHERSON Components BLUE NOTE LP mono NY van gelder o,35.00,0.9023
v1|236979649536|0,FACTORY RECORDS: Joy Division- She's Lost Control FACUS2 1st PRESSING RTI,22.50,0.9021
v1|366577519217|0,MILES DAVIS Collector's Items PRESTIGE 2XLP VG+ gatefold o,8.50,0.9010
v1|366577508698|0,FREDDIE ROACH Brown Sugar BLUE NOTE LP stereo NY/Liberty van gelder o,9.50,0.8999
v1|366577516436|0,"JOE PASS The Complete ""Catch Me!"" Sessions BLUE NOTE LP VG+ o",15.01,0.8993
v1|287499138376|0,Art Hodes and His Chicagoans Best In 2 Beat - Blue Note LP 7004 DG Lex Ear,49.00,0.8989
v1|236980307855|0,The Ramones - End of the Century - Sire SRK 6077 1980 VG+,15.50,0.8986
v1|377394794487|0,"BEAUTIFUL *MINT* 1970 UK PYE ~ ""FIRE"" MAGIC SHOEMAKER ~ HOLY GRAIL PSYCH PROG LP",998.98,0.8975
v1|227459475069|0,The Cure - Invasion Of The Body Snatchers - VERY RARE Live 2 LPs,149.00,0.8955
v1|117337561155|0,CLIFFORD BROWN Lou Donaldson Memorial Album BLUE NOTE BLP 1526 LP 33 Deep Groove,75.00,0.8952
v1|188732368364|0,Modern Soul Boogie - Andre Lavonne Attitude - SOC - Funk Disco Electro Private ,10.50,0.8938
v1|178355328428|0,Britt Eklund-Imported cheesecake-picture disc-Do It to Me/Private Party-NM,25.00,0.8926
v1|168575853739|0,"KAJAGOOGOO U.K. IMPORT ALBUM ""WHITE FEATHERS"" LYRIC INNERSLEEVE 1982 EMI AMERICA",9.99,0.8915
v1|227462723579|0,Man - Do You Like it Here Now NM lp rare Prog Rock psych German Record,5.99,0.8913
v1|366577540300|0,BOBBI HUMPHREY Fancy Dancer BLUE NOTE LP o,13.50,0.8913
v1|147467396826|0,"The Cure Hot Hot Hot!!! 1988 US 12"" Vinyl Single 0-66783 Monarch OG Shrink - NR",17.00,0.8905
v1|318661054525|0,HERBIE HANCOCK Maiden Voyage BLUE NOTE LP stereo NY van gelder o,9.61,0.8897
v1|366577531493|0,HERBIE HANCOCK Speak Like A Child BLUE NOTE LP unipak o,21.50,0.8894
v1|800440149044|0,BLUE MITCHELL Boss Horn BLUE NOTE LP van gelder o,8.00,0.8879
v1|287499649172|0,Instant Funk - Self Titled Album (1979 Salsoul SA 8513 Stereo LP),4.99,0.8864
v1|257654094110|0,Jimmy Smith Bucket NM! 1st NY Mono RVG 4235 Blue Note lp,9.99,0.8863
v1|158137376254|0,"EA80 BOXHAMSTERS Rare Obscure Punk 7"" vinyl record BBX 012 Blackbox Germany",36.00,0.8861
v1|188732504310|0,Rock - Silver Apples - Kapp - 60’s Psych Punk Experimental Rare Classic,13.50,0.8860
v1|318660975669|0,SONNY ROLLINS Brass/Trio VERVE LP mono o,8.00,0.8857
v1|257651885414|0,"PROBLEMATIC Electrify Me HARLEQUIN 12"" NM/VG++ 2001 OG PROMO",5.00,0.8855
v1|318661014315|0,LEE MORGAN The Gigolo BLUE NOTE LP van gelder SHRINK o,31.00,0.8850
v1|267745846490|0,TRAMLINE-SOMEWHERE DOWN THE LINE 1968 ISLAND ILPS 9088 UK IST PRESS (eye)VG+/VG+,59.99,0.8847
v1|257662292249|0,BOOKER ERVIN Exultation! Prestige LP 7844 1972 Stereo Test Pressing Strozier ,59.99,0.8842
v1|318661055614|0,HERBIE HANCOCK Maiden Voyage BLUE NOTE LP stereo UA van gelder o,16.50,0.8831
v1|407113273839|0,"Rare Soul LP, Insert & Obi - V/A - Apollo Saturday Night - Atlantic- Japan Press",12.99,0.8827
v1|318661065121|0,GENE HARRIS Tone Tantrum BLUE NOTE LP o,12.50,0.8821
v1|287499142769|0,The Jazz Messengers at the Cafe Bohemia Volume 1 Blue Note BLP 1507 First Press,200.00,0.8820
v1|147479106614|0,"Dahmer / Undinism Bastards Split 7"" Vinyl 1995 Australia Grindcore Noisecore EX",48.00,0.8811
v1|137565090419|0,K.C. DOUGLAS K.C.'s Blues ORIG 1961 DG MONO Prestige Bluesville – BVLP 1023 RVG,9.99,0.8810
v1|366591410168|0,Miles Davis Kind of Blue 1959 Mono 1st Press 1D/1D Triple Misprint Errors VG+++,399.99,0.8803
v1|318661066742|0,HERMETO Self Titled COBBLESTONE CST-9000 LP o,37.00,0.8802
v1|336722425479|0,TEARS FOR FEARS-Songs from the big chair LP Vinyl 1985 Mercury EX/VG+,20.50,0.8798
v1|188730566738|0,New Wave - The Terminals Chinatown - Test Press - Rare Private Press Rock 80’s,9.99,0.8793
v1|257651804564|0,Mountain Man - S/T Self Titled PRIVATE PRESS Promo Folk Psych Mountainman,100.00,0.8779
v1|298554669906|0,SUSPIRIA GOBLIN DARIO ARGENTO VINYL Records Lot Of 2 Very RARE! Horror,125.00,0.8764
v1|800451591453|0,JOHN COLTRANE Alternate Takes ATLANTIC LP  G+,4.00,0.8763
v1|336721948445|0,FACTORY RECORDS: Joy Division- Closer LP SPANISH EDIGSA  1984 w/White Labels,12.50,0.8762
v1|318664077324|0,Starvue - Upward Bound LP - Midwest International Rare Modern Soul Disco OG VG+,255.00,0.8753
v1|178370435152|0,Rapeman Budd LP Steve Albini Shellac Big Black Touch and Go orig. pressing,29.99,0.8751
v1|178368498617|0,Grachan Moncur III - Evolution LP Blue Note Audiophile BST84153 Bobby Hutcherson,9.65,0.8745
v1|800440122209|0,DIZZY REECE Soundin' Off BLUE NOTE LP VG+ japan 1984 reissue w/ insert o,9.56,0.8745
v1|800440157580|0,CHARLES EARLAND Black Drops PRESTIGE LP o,8.50,0.8742
v1|318672012712|0,Digital Underground - Future Rhythm LP - Critique SEALED,22.50,0.8726
v1|366577517801|0,ALPHONSE MOUZON The Essence Of Mystery BLUE NOTE LP o,8.00,0.8724
v1|366577537998|0,JOE HENDERSON In Pursuit Of Blackness MILESTONE LP o,43.00,0.8719
v1|366585567180|0,Lou Donaldson Pretty Things 1971 OG w/ Blue Mitchell Idris Muhammad Blue Note LP,9.50,0.8719
v1|366577538169|0,ANDREW HILL Smokestack BLUE NOTE LP VG+ mono NY van gelder ear o,84.00,0.8717
v1|267745783459|0,Detroit Soul-Funk-Ray Weatherspoon- Start Sho Nuffin Very Rare Satan 45 VG wol,42.00,0.8716
v1|206457726661|0,"Nimbiss - Paradise 12"" - Shy-Backe - Rare Modern Soul Boogie OG Press HEAR",449.44,0.8713
v1|236979747273|0,"FACTORY RECORDS: New Order- Everythings Gone Green 1981 BENELUX 12"" FBNL8",10.00,0.8699
v1|366576624146|0,Stereolab The Free Design 4 Tr EP 1999 OG,11.50,0.8675
v1|257655100569|0,Andrew Hill Smokestack EX/NM! 1st Mono NY Ear Roy Haynes Blue Note lp,113.50,0.8667
v1|398251100490|0,VIRGINIA CULLOM  Love Note | Private | Miami | Disco? | LP | Original SEALED,9.99,0.8656
v1|188732757621|0,Lounge - Rollie Hudson The Melodic Touch - Rare Private Press Electronic Synth,9.99,0.8653
v1|800443916424|0,Underground Band - S/T EP - Spice - Rare Boogie Funk/Modern Soul VG+ HEAR,660.00,0.8651
v1|298531188943|0,Mariah Carey #1's  FIRST U.S. 2LP Vinyl Pressing Open/Unplayed Copy!,36.00,0.8646
v1|236980263171|0,"Tears for Fears Songs From The Big Chair LP Vinyl 12"" Rock Mercury 422 824 300-1",20.50,0.8634
v1|366577542055|0,BOBBY HUTCHERSON Waiting BLUE NOTE LP VG+ o,8.00,0.8631
v1|366577542055|0,BOBBY HUTCHERSON Waiting BLUE NOTE LP VG+ o,8.00,0.8631
v1|800443916343|0,"Myth - In Action 12"" - Rare Private Modern Soul Funk VG++ HEAR",212.50,0.8624
v1|366577537446|0,EDDIE HENDERSON Heritage BLUE NOTE LP VG+ o,26.26,0.8624
v1|178358387830|0,"801 Live Australian Vinyl Lp 1977  POLYDOR 2310510 Brian Eno,  Phil Manzanera",10.99,0.8622
v1|366577507327|0,MAX ROACH We Insist! - Freedom Now Suite AMIGO LP VG+ sweden 1972 reissue o,8.00,0.8616
v1|366577508353|0,MAX ROACH + 4 On The Chicago Scene EMARCY LP mono o,8.00,0.8615
v1|327292120211|0,RARE The Cramps Kizmiaz Red Vinyl French Release New Rose Records Punk LP,25.00,0.8613
v1|366577531841|0,HERBIE HANCOCK TRIO Self Titled CBS/SONY 25AP650 LP japan with insert o,9.50,0.8612
v1|318661028928|0,BENNIE GREEN Back On The Scene BLUE NOTE LP mono japan 1991 reissue o,18.50,0.8591
v1|377391713348|0,ART PEPPER + Eleven CONTEMPORARY 1960 Jazz LP VINYL Record ALBUM VG+ USED,38.36,0.8583
v1|366581855252|0,FIRST EDITION/KENNY ROGERS-2 PSYCH ROCK LP'S ON REPRISE,9.99,0.8566
v1|257655447608|0,Art Blakey Drum Suite NM-! 1st Promo Mono DG Columbia lp Sabu Candido Gigi Gryce,10.50,0.8557
v1|398251047959|0,ORNETTE COLEMAN Best Of ATLANTIC  | Avant | Free Jazz |  HEAR,9.99,0.8553
v1|398243483735|0,Adam F - Colours 1997 UK EMI F-Jams 2xLP + [ VERY RARE ] Original Shrink DnB VG+,59.99,0.8538
v1|318661064026|0,JOE HARRIOTT QUINTET Free Form JAZZLAND LP VG+ mono textured cover o,40.88,0.8518
v1|257655547863|0,Grant Green Grant’s First Stand EX! Shrink W63/NY DG Ear Blue Note lp,142.50,0.8517
v1|206457726693|0,Roy Ayers Ubiquity - Lifeline LP - Polydor OG Press VG+,17.50,0.8515
v1|366577524651|0,BILL EVANS/JIM HALL Intermodulation VERVE V-8655 LP mono textured gatefold o,10.50,0.8515
v1|257653821867|0,Jimmy Smith Groovin’ at Smalls Paradise 1 2 1st W63 DG 1585 1586 Blue Note lp,22.50,0.8494
v1|158147090598|0,Elvin Jones LP Mr. Jones Blue Note,10.00,0.8494
v1|366577523714|0,CHARLES EARLAND Black Talk! PRESTIGE LP SHRINK o,8.00,0.8492
v1|800440218079|0,BOBBI HUMPHREY Dig This! BLUE NOTE LP VG+ o,26.00,0.8485
v1|236979821303|0,CLUSTER & ENO 1977 LP Original German SKY RECORDS Quedlinburger Weg 42 Hamburg61,49.94,0.8482
v1|800440217309|0,FREDDIE HUBBARD Night Of The Cookers Vol. 1 BLUE NOTE LP stereo Liberty o,13.50,0.8476
v1|366577539120|0,FREDDIE HUBBARD Night Of The Cookers Vol. 2 BLUE NOTE LP stereo Liberty o,8.00,0.8476
v1|147479065838|0,Another Headache - Serendipity (2x7” 1994) LIMITED - CLEAR VINYL - RARE - OOP,25.00,0.8468
v1|800440217855|0,BOBBI HUMPHREY Satin Doll BLUE NOTE LP textured cover o,9.50,0.8466
v1|800440157838|0,CHARLES EARLAND Kharma PRESTIGE LP VG+ wlp o,8.00,0.8462
v1|407088972109|0,STEVE YOUNG • Rock Salt & Nails 1969 LP RARE Original LISTEN EX,19.99,0.8461
v1|257656137011|0,Thad Jones Mad Thad EX! Rare! 1st DG Period lp Elvin Tommy Flanagan,749.00,0.8459
v1|257655554104|0,Horace Parlan Up and Down Plays EX! 1st NY Ear Stereo Grant Green Blue Note lp,399.00,0.8454
v1|257653145482|0,Ornette Coleman – Change Of The Century 1960 US MONO Vinyl LP VG+,6.50,0.8445
v1|800440148645|0,THELONIOUS MONK Criss-Cross COLUMBIA LP 2-eye o,10.50,0.8441
v1|318661020035|0,BILL EVANS TRIO Portrait In Jazz RIVERSIDE RLP-12-315 LP mono o,180.50,0.8437
v1|366577530065|0,GRANT GREEN Born To Be Blue BLUE NOTE LP NM dmm audiophile with obi o,13.50,0.8431
v1|800440149121|0,CHARLES MINGUS Mingus Dynasty COLUMBIA SPECIAL PRODUCTS LP VG+ o,8.00,0.8422
v1|366577514105|0,PHARAOHS Awakening SCARAB LP original pressing o,54.88,0.8414
v1|366577514105|0,PHARAOHS Awakening SCARAB LP original pressing o,54.88,0.8414
v1|407117492257|0,"Mariah Carey ""Emotions"" R&B Hip Hop LP Columbia OG",8.50,0.8413
v1|800440182774|0,GRANT GREEN Live BLUE NOTE 2XLP gatefold o,36.00,0.8379
v1|366577538888|0,GROOVE HOLMES New Groove GROOVE MERCHANT LP o,9.50,0.8376
v1|128002372988|0,AFI The Art of Drowning LP 2000 US Nitro 158335-1 First Pressing VG/VG,69.99,0.8368
v1|800440141671|0,BIG JOHN PATTON Blue John BLUE NOTE LP VG+ 1986 reissue o,11.25,0.8361
v1|318661014947|0,"THELONIOUS MONK Straight, No Chaser COLUMBIA LP 2-eye o",10.50,0.8358
